seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,NN,split,0.895,1.196970603642758,0.344274360976115
0,red,NN,weighted_split,0.93,1.373349475093103,0.344274360976115
0,red,NN,JAW-FCS,0.87,0.8117628266615402,0.32143450839706844
0,red,NN,JAW-SCS,0.875,0.8048604336943306,0.32143450839706844
0,red,NN,jackknife+,0.855,0.7819182948920989,0.32143450839706844
0,red,NN,CV+_K8,0.95,0.9283733739710609,0.32143450839706844
0,red,NN,wCV_FCS_K8,0.97,1.027303833744774,0.32143450839706844
0,red,NN,wCV_SCS_K8,0.965,0.9803028296848288,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K8,0.865,0.8219538228275103,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K8,0.875,0.8417696423536457,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K8,0.925,inf,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K8,0.99,inf,0.32143450839706844
0,red,NN,CV+_K12,0.91,0.8474757009156075,0.32143450839706844
0,red,NN,wCV_FCS_K12,0.94,0.9189758980820018,0.32143450839706844
0,red,NN,wCV_SCS_K12,0.935,0.8925238844149974,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K12,0.89,0.8842987253757602,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K12,0.89,0.894106616678007,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K12,0.96,inf,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K12,0.99,inf,0.32143450839706844
0,red,NN,CV+_K16,0.885,0.8220520339196724,0.32143450839706844
0,red,NN,wCV_FCS_K16,0.945,0.8990658099829025,0.32143450839706844
0,red,NN,wCV_SCS_K16,0.91,0.8665531098065646,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K16,0.89,0.9716952253579514,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K16,0.925,1.0072831406005118,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K16,0.98,1.24946716293266,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K16,0.99,1.3360158710260064,0.32143450839706844
0,red,NN,CV+_K24,0.9,0.8392181392437981,0.32143450839706844
0,red,NN,wCV_FCS_K24,0.945,0.9350450661288421,0.32143450839706844
0,red,NN,wCV_SCS_K24,0.915,0.8933960088822732,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K24,0.935,0.8862094884275342,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K24,0.905,0.8876553037582713,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K24,0.985,1.2057288510373718,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K24,0.98,1.2487785303971033,0.32143450839706844
0,red,NN,CV+_K32,0.855,0.7726308151859214,0.32143450839706844
0,red,NN,wCV_FCS_K32,0.88,0.8228727995459864,0.32143450839706844
0,red,NN,wCV_SCS_K32,0.865,0.8042275959500006,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K32,0.91,0.8872556080002694,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K32,0.89,0.8360068988647452,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K32,0.985,1.1918746696088527,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K32,0.97,1.2380919528811742,0.32143450839706844
0,red,NN,CV+_K48,0.845,0.7474280104250539,0.32143450839706844
0,red,NN,wCV_FCS_K48,0.87,0.7883728040836626,0.32143450839706844
0,red,NN,wCV_SCS_K48,0.86,0.7844251340948185,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K48,0.915,0.8491178565802351,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K48,0.905,0.8269598865920461,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K48,0.97,1.127882700772087,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K48,0.95,0.8894109611002664,0.32143450839706844
0,red,NN,CV+_K96,0.855,0.7418627475786309,0.32143450839706844
0,red,NN,wCV_FCS_K96,0.88,0.8081665748520808,0.32143450839706844
0,red,NN,wCV_SCS_K96,0.86,0.7822758481964744,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K96,0.87,0.8110591670627944,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K96,0.875,0.8023250344396595,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K96,0.96,0.9860260678589254,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K96,0.935,0.8662987595110606,0.32143450839706844
0,red,NN,CV+_K192,0.845,0.7707952406525274,0.32143450839706844
0,red,NN,wCV_FCS_K192,0.875,0.8290255294631141,0.32143450839706844
0,red,NN,wCV_SCS_K192,0.86,0.8098023650587216,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_rep_K192,0.875,0.8107003925172847,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_rep_K192,0.86,0.8051730956509738,0.32143450839706844
0,red,NN,JAW_FCS_KLOO_det_K192,0.87,0.8117628266615402,0.32143450839706844
0,red,NN,JAW_SCS_KLOO_det_K192,0.875,0.8048604336943306,0.32143450839706844
1,red,NN,split,0.945,1.411844851393826,0.27619596292880993
1,red,NN,weighted_split,0.945,1.411844851393826,0.27619596292880993
1,red,NN,JAW-FCS,0.915,0.8678784435394289,0.32840784584344007
1,red,NN,JAW-SCS,0.91,0.8478985666452423,0.32840784584344007
1,red,NN,jackknife+,0.9,0.7789040393993483,0.32840784584344007
1,red,NN,CV+_K8,0.905,0.8435474572582835,0.32840784584344007
1,red,NN,wCV_FCS_K8,0.925,0.9117903021134854,0.32840784584344007
1,red,NN,wCV_SCS_K8,0.925,0.917636306354787,0.32840784584344007
1,red,NN,JAW_FCS_KLOO_rep_K8,0.875,0.9520748843324469,0.32840784584344007
