seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.785,0.4161244517375582,0.3841209892203119
0,red,RF,weighted_split,0.885,0.8691377300277112,0.3841209892203119
0,red,RF,JAW-FCS,0.905,0.6668527176559131,0.3841209892203119
0,red,RF,JAW-SCS,0.905,0.6988668972525973,0.3841209892203119
0,red,RF,jackknife+,0.815,0.3693227293856127,0.3841209892203119
0,red,RF,CV+_K8,0.81,0.39250846192421057,0.3841209892203119
0,red,RF,wCV_FCS_K8,0.825,0.43551534086247523,0.3841209892203119
0,red,RF,wCV_SCS_K8,0.905,0.8119059958287176,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K8,0.87,0.70730759869043,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K8,0.9,0.7479690954384066,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K8,0.985,inf,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K8,0.965,inf,0.3841209892203119
0,red,RF,CV+_K12,0.815,0.38455858061596326,0.3841209892203119
0,red,RF,wCV_FCS_K12,0.825,0.3748432588545322,0.3841209892203119
0,red,RF,wCV_SCS_K12,0.925,0.7783956793574975,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K12,0.865,0.782350396794591,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K12,0.885,0.8205891192515925,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K12,0.985,inf,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K12,0.965,inf,0.3841209892203119
0,red,RF,CV+_K16,0.82,0.399094411645805,0.3841209892203119
0,red,RF,wCV_FCS_K16,0.82,0.3527392735137268,0.3841209892203119
0,red,RF,wCV_SCS_K16,0.925,0.7836583760133651,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K16,0.92,0.9324701391485358,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K16,0.92,0.9564435793404573,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K16,0.99,1.2729219500507623,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K16,0.97,inf,0.3841209892203119
0,red,RF,CV+_K24,0.82,0.40019212186589337,0.3841209892203119
0,red,RF,wCV_FCS_K24,0.835,0.4416221651790153,0.3841209892203119
0,red,RF,wCV_SCS_K24,0.925,0.7926374411010111,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K24,0.895,0.7629165236267789,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K24,0.89,0.8793109124178851,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K24,0.985,1.2587652261572766,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K24,0.965,1.2754208411137555,0.3841209892203119
0,red,RF,CV+_K32,0.805,0.3418413084807892,0.3841209892203119
0,red,RF,wCV_FCS_K32,0.825,0.3597001131500872,0.3841209892203119
0,red,RF,wCV_SCS_K32,0.9,0.6433287217265397,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K32,0.895,0.7417502056557389,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K32,0.9,0.7629165236267789,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K32,0.98,1.228609666349552,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K32,0.965,1.228609666349552,0.3841209892203119
0,red,RF,CV+_K48,0.805,0.36099172212132424,0.3841209892203119
0,red,RF,wCV_FCS_K48,0.81,0.38443230617538576,0.3841209892203119
0,red,RF,wCV_SCS_K48,0.91,0.771049137592791,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K48,0.9,0.6863362458636697,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K48,0.905,0.70730759869043,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K48,0.965,1.2017690645471286,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K48,0.965,1.1196022364586402,0.3841209892203119
0,red,RF,CV+_K96,0.81,0.3736726690559211,0.3841209892203119
0,red,RF,wCV_FCS_K96,0.8,0.32015845023801504,0.3841209892203119
0,red,RF,wCV_SCS_K96,0.895,0.7060141951381106,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K96,0.9,0.6861356292787881,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K96,0.895,0.7034212034923695,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K96,0.93,0.91455582555546,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_det_K96,0.94,0.9069605951800597,0.3841209892203119
0,red,RF,CV+_K192,0.8,0.3424680302501839,0.3841209892203119
0,red,RF,wCV_FCS_K192,0.82,0.4076839957329247,0.3841209892203119
0,red,RF,wCV_SCS_K192,0.905,0.7756985858756198,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_rep_K192,0.9,0.6727645818564398,0.3841209892203119
0,red,RF,JAW_SCS_KLOO_rep_K192,0.91,0.7064196437207092,0.3841209892203119
0,red,RF,JAW_FCS_KLOO_det_K192,0.905,0.6668527176559131,0.3841209892203119
