seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.84,0.4773148721113245,0.2480313941379761
0,red,RF,weighted_split,0.84,0.4773148721113245,0.2480313941379761
0,red,RF,JAW-FCS,0.91,0.41081893621460464,0.2368440251986767
0,red,RF,JAW-SCS,0.91,0.41081893621460464,0.2368440251986767
0,red,RF,jackknife+,0.91,0.41081893621460464,0.2368440251986767
0,red,RF,CV+_K8,0.905,0.40925985510358753,0.2368440251986767
0,red,RF,wCV_FCS_K8,0.905,0.42106226707885785,0.2368440251986767
0,red,RF,wCV_SCS_K8,0.905,0.42106226707885785,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K8,0.905,0.5160158228590737,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K8,0.91,0.5145423086180977,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K8,1.0,inf,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K8,1.0,inf,0.2368440251986767
0,red,RF,CV+_K12,0.91,0.44001622340506663,0.2368440251986767
0,red,RF,wCV_FCS_K12,0.915,0.45588155879089726,0.2368440251986767
0,red,RF,wCV_SCS_K12,0.915,0.45588155879089726,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K12,0.875,0.5334186451332728,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K12,0.9,0.5181567611373781,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K12,0.91,inf,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K12,0.91,inf,0.2368440251986767
0,red,RF,CV+_K16,0.91,0.40621816252208715,0.2368440251986767
0,red,RF,wCV_FCS_K16,0.91,0.40939107334902913,0.2368440251986767
0,red,RF,wCV_SCS_K16,0.91,0.40939107334902913,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K16,0.93,0.5926736606100831,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K16,0.92,0.6018759901856414,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K16,0.91,inf,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K16,0.91,inf,0.2368440251986767
0,red,RF,CV+_K24,0.905,0.3938701028455607,0.2368440251986767
0,red,RF,wCV_FCS_K24,0.91,0.40421888790380206,0.2368440251986767
0,red,RF,wCV_SCS_K24,0.91,0.40421888790380206,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K24,0.91,0.4554393547691596,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K24,0.945,0.531075526716935,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K24,0.96,0.7991500076475098,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K24,0.96,0.7991500076475098,0.2368440251986767
0,red,RF,CV+_K32,0.91,0.41395206173666205,0.2368440251986767
0,red,RF,wCV_FCS_K32,0.91,0.42149215696326325,0.2368440251986767
0,red,RF,wCV_SCS_K32,0.91,0.42149215696326325,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K32,0.895,0.4610605025834889,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K32,0.9,0.4744722452430853,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K32,0.9,0.5282608602543877,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K32,0.9,0.5282608602543877,0.2368440251986767
0,red,RF,CV+_K48,0.89,0.348826013065598,0.2368440251986767
0,red,RF,wCV_FCS_K48,0.89,0.35446648350652943,0.2368440251986767
0,red,RF,wCV_SCS_K48,0.89,0.35446648350652943,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K48,0.9,0.4913644579819682,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K48,0.915,0.4263788797074891,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K48,0.885,0.35974411015437446,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K48,0.885,0.35974411015437446,0.2368440251986767
0,red,RF,CV+_K96,0.9,0.39622508850243776,0.2368440251986767
0,red,RF,wCV_FCS_K96,0.9,0.4020436742898126,0.2368440251986767
0,red,RF,wCV_SCS_K96,0.9,0.4020436742898126,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K96,0.895,0.41395151333736113,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K96,0.905,0.4242435420123838,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K96,0.91,0.39555724865195163,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K96,0.91,0.39555724865195163,0.2368440251986767
0,red,RF,CV+_K192,0.9,0.3586780315192839,0.2368440251986767
0,red,RF,wCV_FCS_K192,0.9,0.36391186138514886,0.2368440251986767
0,red,RF,wCV_SCS_K192,0.9,0.36391186138514886,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_rep_K192,0.905,0.4197576490500826,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_rep_K192,0.91,0.42096592414870704,0.2368440251986767
0,red,RF,JAW_FCS_KLOO_det_K192,0.91,0.41081893621460464,0.2368440251986767
0,red,RF,JAW_SCS_KLOO_det_K192,0.91,0.41081893621460464,0.2368440251986767
1,red,RF,split,0.91,0.5624964573099256,0.22782791668942826
1,red,RF,weighted_split,0.91,0.5624964573099256,0.22782791668942826
1,red,RF,JAW-FCS,0.94,0.5036093355236264,0.21606187329059984
1,red,RF,JAW-SCS,0.94,0.5036093355236264,0.21606187329059984
1,red,RF,jackknife+,0.94,0.5036093355236264,0.21606187329059984
1,red,RF,CV+_K8,0.925,0.6103578550177461,0.21606187329059984
1,red,RF,wCV_FCS_K8,0.925,0.6162767925707284,0.21606187329059984
1,red,RF,wCV_SCS_K8,0.925,0.6162767925707284,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K8,0.935,0.5309483405328448,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K8,0.925,0.5227252576717829,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K8,1.0,inf,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K8,1.0,inf,0.21606187329059984
1,red,RF,CV+_K12,0.935,0.5902749294465296,0.21606187329059984
1,red,RF,wCV_FCS_K12,0.935,0.5971587400395484,0.21606187329059984
1,red,RF,wCV_SCS_K12,0.935,0.5971587400395484,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K12,0.935,0.6351989503517603,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K12,0.92,0.5821263498402448,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K12,0.955,inf,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K12,0.955,inf,0.21606187329059984
1,red,RF,CV+_K16,0.935,0.5766451016978622,0.21606187329059984
1,red,RF,wCV_FCS_K16,0.935,0.5862302125594461,0.21606187329059984
1,red,RF,wCV_SCS_K16,0.935,0.5862302125594461,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K16,0.945,0.6699888010825176,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K16,0.935,0.7894758863580513,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K16,0.96,inf,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K16,0.96,inf,0.21606187329059984
1,red,RF,CV+_K24,0.94,0.5529778843257167,0.21606187329059984
1,red,RF,wCV_FCS_K24,0.94,0.5686107775901184,0.21606187329059984
1,red,RF,wCV_SCS_K24,0.94,0.5686107775901184,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K24,0.945,0.6092531946797655,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K24,0.94,0.5872167177748566,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K24,0.955,0.7348401002795186,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K24,0.955,0.7348401002795186,0.21606187329059984
1,red,RF,CV+_K32,0.935,0.5565157927726023,0.21606187329059984
1,red,RF,wCV_FCS_K32,0.935,0.5641485833655364,0.21606187329059984
1,red,RF,wCV_SCS_K32,0.935,0.5641485833655364,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K32,0.935,0.572354882817541,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K32,0.94,0.5329708561677282,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K32,0.955,0.734099161257195,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K32,0.955,0.734099161257195,0.21606187329059984
1,red,RF,CV+_K48,0.94,0.5447566518830365,0.21606187329059984
1,red,RF,wCV_FCS_K48,0.94,0.5517693399641348,0.21606187329059984
1,red,RF,wCV_SCS_K48,0.94,0.5517693399641348,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K48,0.945,0.5327803916036675,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_rep_K48,0.935,0.5410501043164789,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_det_K48,0.945,0.6658097460980037,0.21606187329059984
1,red,RF,JAW_SCS_KLOO_det_K48,0.945,0.6658097460980037,0.21606187329059984
1,red,RF,CV+_K96,0.93,0.4495795200574309,0.21606187329059984
1,red,RF,wCV_FCS_K96,0.93,0.4616709944457448,0.21606187329059984
1,red,RF,wCV_SCS_K96,0.93,0.4616709944457448,0.21606187329059984
1,red,RF,JAW_FCS_KLOO_rep_K96,0.94,0.5298823798882968,0.21606187329059984
