seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,blue,RF,split,0.935,0.8704818322726127,0.7354167102570263
0,blue,RF,weighted_split,0.97,1.1306846936267327,0.7354167102570263
0,blue,RF,JAW-FCS,0.925,0.432091230779178,0.8153817824383267
0,blue,RF,JAW-SCS,0.95,0.5516951099121906,0.8153817824383267
0,blue,RF,jackknife+,0.85,0.32469366550733675,0.8153817824383267
0,blue,RF,CV+_K2,0.88,0.5569004031472972,0.8153817824383267
0,blue,RF,wCV_FCS_K2,0.955,0.7499798411107498,0.8153817824383267
0,blue,RF,wCV_SCS_K2,0.945,0.7728153624672851,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_rep_K2,0.685,0.22136484987106586,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_rep_K2,0.715,0.2402516346274628,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_det_K2,0.96,inf,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_det_K2,0.985,inf,0.8153817824383267
0,blue,RF,CV+_K4,0.855,0.40118096230667055,0.8153817824383267
0,blue,RF,wCV_FCS_K4,0.965,0.5790995412355483,0.8153817824383267
0,blue,RF,wCV_SCS_K4,0.96,0.5881147666381508,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_rep_K4,0.805,0.3027028376140669,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_rep_K4,0.83,0.41178499213317565,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_det_K4,0.94,inf,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_det_K4,0.935,inf,0.8153817824383267
0,blue,RF,CV+_K6,0.885,0.39814651085957475,0.8153817824383267
0,blue,RF,wCV_FCS_K6,0.945,0.521512106512379,0.8153817824383267
0,blue,RF,wCV_SCS_K6,0.96,0.5769147950366479,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_rep_K6,0.885,0.3842329797343541,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_rep_K6,0.895,0.6185432262336502,0.8153817824383267
0,blue,RF,JAW_FCS_KLOO_det_K6,0.94,inf,0.8153817824383267
0,blue,RF,JAW_SCS_KLOO_det_K6,0.945,inf,0.8153817824383267
1,blue,RF,split,0.82,0.33908807585062295,0.8547469526987507
1,blue,RF,weighted_split,0.95,1.0598008696723549,0.8547469526987507
1,blue,RF,JAW-FCS,0.94,0.676607364475111,0.801624881382219
1,blue,RF,JAW-SCS,0.95,0.8099240608033231,0.801624881382219
1,blue,RF,jackknife+,0.8,0.3559310271885544,0.801624881382219
1,blue,RF,CV+_K2,0.755,0.2802288597598709,0.801624881382219
1,blue,RF,wCV_FCS_K2,0.895,0.5301784051008418,0.801624881382219
1,blue,RF,wCV_SCS_K2,0.94,0.5907611159327435,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_rep_K2,0.6,0.24525524601188364,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_rep_K2,0.675,0.31609216954540154,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_det_K2,0.97,inf,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.801624881382219
1,blue,RF,CV+_K4,0.795,0.3746248934377559,0.801624881382219
1,blue,RF,wCV_FCS_K4,0.92,0.5891772794323835,0.801624881382219
1,blue,RF,wCV_SCS_K4,0.93,0.6398882272064943,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_rep_K4,0.82,0.4760809318080418,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_rep_K4,0.84,0.48677519828894655,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_det_K4,0.93,inf,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_det_K4,0.99,inf,0.801624881382219
1,blue,RF,CV+_K6,0.77,0.34147430725601613,0.801624881382219
1,blue,RF,wCV_FCS_K6,0.905,0.6185113581170758,0.801624881382219
1,blue,RF,wCV_SCS_K6,0.915,0.66397390902598,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_rep_K6,0.905,0.7377330942427325,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_rep_K6,0.875,0.6512555500894978,0.801624881382219
1,blue,RF,JAW_FCS_KLOO_det_K6,0.97,inf,0.801624881382219
1,blue,RF,JAW_SCS_KLOO_det_K6,0.995,inf,0.801624881382219
2,blue,RF,split,0.825,0.5025908086163802,0.6897315296292525
2,blue,RF,weighted_split,0.885,0.6168085666123868,0.6897315296292525
2,blue,RF,JAW-FCS,0.98,0.7596121557175503,0.7130481221100817
2,blue,RF,JAW-SCS,0.98,0.7868760005510723,0.7130481221100817
2,blue,RF,jackknife+,0.885,0.46737573779366093,0.7130481221100817
2,blue,RF,CV+_K2,0.825,0.5135024527615123,0.7130481221100817
2,blue,RF,wCV_FCS_K2,0.96,0.814943400913765,0.7130481221100817
2,blue,RF,wCV_SCS_K2,0.975,1.1803816641778155,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_rep_K2,0.745,0.3293322567387982,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_rep_K2,0.775,0.40561107027617227,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_det_K2,1.0,inf,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.7130481221100817
2,blue,RF,CV+_K4,0.89,0.4573182357722586,0.7130481221100817
2,blue,RF,wCV_FCS_K4,0.955,0.6993532615328935,0.7130481221100817
2,blue,RF,wCV_SCS_K4,0.965,0.8019265489302136,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_rep_K4,0.91,0.5284224701764219,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_rep_K4,0.905,0.6063373279741044,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_det_K4,1.0,inf,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.7130481221100817
2,blue,RF,CV+_K6,0.88,0.5288025362145333,0.7130481221100817
2,blue,RF,wCV_FCS_K6,0.975,0.6928585917803076,0.7130481221100817
2,blue,RF,wCV_SCS_K6,0.975,0.947771491475379,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_rep_K6,0.955,0.7323857593588459,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_rep_K6,0.94,0.7860094240993327,0.7130481221100817
2,blue,RF,JAW_FCS_KLOO_det_K6,0.995,inf,0.7130481221100817
2,blue,RF,JAW_SCS_KLOO_det_K6,0.995,inf,0.7130481221100817
3,blue,RF,split,0.645,0.3662972939437932,0.749262942197864
3,blue,RF,weighted_split,0.815,0.535602948139172,0.749262942197864
3,blue,RF,JAW-FCS,0.98,0.5900693155342678,0.7443053087710061
3,blue,RF,JAW-SCS,0.975,0.6023746511871066,0.7443053087710061
3,blue,RF,jackknife+,0.84,0.40808535512507427,0.7443053087710061
3,blue,RF,CV+_K2,0.73,0.5258673990538294,0.7443053087710061
3,blue,RF,wCV_FCS_K2,0.96,0.7521398770661126,0.7443053087710061
3,blue,RF,wCV_SCS_K2,0.975,0.8627542196669069,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_rep_K2,0.685,0.28232336750029763,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_rep_K2,0.69,0.4419893008969421,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_det_K2,0.955,inf,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_det_K2,1.0,inf,0.7443053087710061
3,blue,RF,CV+_K4,0.805,0.4132860821813341,0.7443053087710061
3,blue,RF,wCV_FCS_K4,0.98,0.7674679277123841,0.7443053087710061
3,blue,RF,wCV_SCS_K4,0.98,0.7891580963357112,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_rep_K4,0.84,0.5062302387028947,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_rep_K4,0.85,0.5310531446851017,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_det_K4,0.97,inf,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_det_K4,1.0,inf,0.7443053087710061
3,blue,RF,CV+_K6,0.845,0.380004935048136,0.7443053087710061
3,blue,RF,wCV_FCS_K6,0.975,0.6054389938267581,0.7443053087710061
3,blue,RF,wCV_SCS_K6,0.96,0.5869284472429532,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_rep_K6,0.93,0.5911135608559186,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_rep_K6,0.935,0.5698729204654434,0.7443053087710061
3,blue,RF,JAW_FCS_KLOO_det_K6,0.99,inf,0.7443053087710061
3,blue,RF,JAW_SCS_KLOO_det_K6,1.0,inf,0.7443053087710061
4,blue,RF,split,0.77,0.2952921235355106,0.8360873441653527
4,blue,RF,weighted_split,0.89,0.4294840029400553,0.8360873441653527
4,blue,RF,JAW-FCS,0.845,0.37395479169775636,0.8938311005541155
4,blue,RF,JAW-SCS,0.85,0.37266779096617053,0.8938311005541155
4,blue,RF,jackknife+,0.79,0.273816213551919,0.8938311005541155
4,blue,RF,CV+_K2,0.755,0.39716016974744983,0.8938311005541155
4,blue,RF,wCV_FCS_K2,0.88,0.6620885808449468,0.8938311005541155
4,blue,RF,wCV_SCS_K2,0.875,0.687864182539635,0.8938311005541155
4,blue,RF,JAW_FCS_KLOO_rep_K2,0.705,0.21257038569331266,0.8938311005541155
4,blue,RF,JAW_SCS_KLOO_rep_K2,0.7,0.19211061762689996,0.8938311005541155
4,blue,RF,JAW_FCS_KLOO_det_K2,0.945,inf,0.8938311005541155
4,blue,RF,JAW_SCS_KLOO_det_K2,0.985,inf,0.8938311005541155
4,blue,RF,CV+_K4,0.795,0.2623164265343694,0.8938311005541155
4,blue,RF,wCV_FCS_K4,0.84,0.3376075841098687,0.8938311005541155
4,blue,RF,wCV_SCS_K4,0.85,0.35249644978355615,0.8938311005541155
4,blue,RF,JAW_FCS_KLOO_rep_K4,0.8,0.24676835696616578,0.8938311005541155
4,blue,RF,JAW_SCS_KLOO_rep_K4,0.81,0.3116507303815814,0.8938311005541155
4,blue,RF,JAW_FCS_KLOO_det_K4,0.96,inf,0.8938311005541155
4,blue,RF,JAW_SCS_KLOO_det_K4,0.985,inf,0.8938311005541155
4,blue,RF,CV+_K6,0.795,0.28985762255206915,0.8938311005541155
4,blue,RF,wCV_FCS_K6,0.82,0.34827061038911544,0.8938311005541155
4,blue,RF,wCV_SCS_K6,0.835,0.3719611992787305,0.8938311005541155
