seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.885,0.6201673822109175,0.29033730367204996
0,red,RF,weighted_split,0.9,0.6992886514563723,0.29033730367204996
0,red,RF,JAW-FCS,0.925,0.5476703827667162,0.29033730367204996
0,red,RF,JAW-SCS,0.93,0.5928135099231981,0.29033730367204996
0,red,RF,jackknife+,0.9,0.45061595579648983,0.29033730367204996
0,red,RF,CV+_K8,0.875,0.44929298181211624,0.29033730367204996
0,red,RF,wCV_FCS_K8,0.905,0.46654426648799724,0.29033730367204996
0,red,RF,wCV_SCS_K8,0.92,0.5807033469693983,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K8,0.93,0.6253777383297336,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K8,0.92,0.6225202614206413,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K8,0.99,inf,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K8,0.985,inf,0.29033730367204996
0,red,RF,CV+_K12,0.9,0.47887985303428793,0.29033730367204996
0,red,RF,wCV_FCS_K12,0.905,0.48528418265432055,0.29033730367204996
0,red,RF,wCV_SCS_K12,0.94,0.7162985718648712,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K12,0.925,0.5976036044424912,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K12,0.895,0.5951146600428144,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K12,1.0,inf,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K12,0.985,inf,0.29033730367204996
0,red,RF,CV+_K16,0.9,0.4464267154560531,0.29033730367204996
0,red,RF,wCV_FCS_K16,0.915,0.4719822902751634,0.29033730367204996
0,red,RF,wCV_SCS_K16,0.935,0.6483824799528856,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K16,0.925,0.6450905743644435,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K16,0.915,0.6894237364909606,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K16,0.995,1.0961286468064573,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K16,0.985,inf,0.29033730367204996
0,red,RF,CV+_K24,0.88,0.4480383508380382,0.29033730367204996
0,red,RF,wCV_FCS_K24,0.895,0.4582775281092618,0.29033730367204996
0,red,RF,wCV_SCS_K24,0.92,0.5467438968360527,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K24,0.93,0.6009804876978103,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K24,0.93,0.6253777383297336,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K24,0.985,1.2636220120740806,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K24,0.975,1.046641285829298,0.29033730367204996
0,red,RF,CV+_K32,0.88,0.42918630440417715,0.29033730367204996
0,red,RF,wCV_FCS_K32,0.895,0.4426661711336822,0.29033730367204996
0,red,RF,wCV_SCS_K32,0.93,0.575657898580035,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K32,0.925,0.5696237565938538,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K32,0.945,0.6113584801552312,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K32,0.98,1.052614526132309,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K32,0.975,0.8718155629341401,0.29033730367204996
0,red,RF,CV+_K48,0.92,0.46920368030165593,0.29033730367204996
0,red,RF,wCV_FCS_K48,0.925,0.5447328736507824,0.29033730367204996
0,red,RF,wCV_SCS_K48,0.95,0.6562815849722294,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K48,0.92,0.5711373019043395,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K48,0.92,0.5941554599979915,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K48,0.97,0.842741533754497,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K48,0.965,0.7881328147899236,0.29033730367204996
0,red,RF,CV+_K96,0.88,0.4080470934398004,0.29033730367204996
0,red,RF,wCV_FCS_K96,0.885,0.4159339437748881,0.29033730367204996
0,red,RF,wCV_SCS_K96,0.93,0.5575164731674036,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K96,0.92,0.5427296767900984,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K96,0.93,0.5916411683666846,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K96,0.955,0.6984997408872609,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K96,0.955,0.7023061804558561,0.29033730367204996
0,red,RF,CV+_K192,0.92,0.5089167617962702,0.29033730367204996
0,red,RF,wCV_FCS_K192,0.92,0.5180206167536503,0.29033730367204996
0,red,RF,wCV_SCS_K192,0.935,0.608742517238746,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_rep_K192,0.93,0.5511155044171845,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_rep_K192,0.935,0.5956011046018632,0.29033730367204996
0,red,RF,JAW_FCS_KLOO_det_K192,0.925,0.5476703827667162,0.29033730367204996
0,red,RF,JAW_SCS_KLOO_det_K192,0.93,0.5928135099231981,0.29033730367204996
1,red,RF,split,0.84,0.4816148796052646,0.2329578356646666
1,red,RF,weighted_split,0.95,0.8109501635496983,0.2329578356646666
1,red,RF,JAW-FCS,0.93,0.8003121608438732,0.2329578356646666
1,red,RF,JAW-SCS,0.935,0.8218433013830679,0.2329578356646666
1,red,RF,jackknife+,0.895,0.5899776052715211,0.2329578356646666
1,red,RF,CV+_K8,0.87,0.5130544521948213,0.2329578356646666
1,red,RF,wCV_FCS_K8,0.88,0.549786170267329,0.2329578356646666
1,red,RF,wCV_SCS_K8,0.92,0.7580958815983322,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_rep_K8,0.945,0.854979401214107,0.2329578356646666
1,red,RF,JAW_SCS_KLOO_rep_K8,0.92,0.9569365220426342,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_det_K8,1.0,inf,0.2329578356646666
1,red,RF,JAW_SCS_KLOO_det_K8,0.99,inf,0.2329578356646666
1,red,RF,CV+_K12,0.875,0.4933518140677756,0.2329578356646666
1,red,RF,wCV_FCS_K12,0.88,0.4878083257789332,0.2329578356646666
1,red,RF,wCV_SCS_K12,0.915,0.7605252706921086,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_rep_K12,0.92,0.8047891151308881,0.2329578356646666
1,red,RF,JAW_SCS_KLOO_rep_K12,0.91,0.8360478066677499,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_det_K12,1.0,inf,0.2329578356646666
1,red,RF,JAW_SCS_KLOO_det_K12,0.99,inf,0.2329578356646666
1,red,RF,CV+_K16,0.875,0.535288680531742,0.2329578356646666
1,red,RF,wCV_FCS_K16,0.885,0.5490078441216024,0.2329578356646666
1,red,RF,wCV_SCS_K16,0.915,0.7234682688163807,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_rep_K16,0.93,0.9042790548754339,0.2329578356646666
1,red,RF,JAW_SCS_KLOO_rep_K16,0.92,0.954528658007786,0.2329578356646666
1,red,RF,JAW_FCS_KLOO_det_K16,1.0,1.3564311915376885,0.2329578356646666
