seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,blue,NN,split,0.845,1.4239533447580381,0.9554976334788364
0,blue,NN,weighted_split,0.9,1.6881138135657814,0.9554976334788364
0,blue,NN,JAW-FCS,0.95,0.8440866009026485,0.905574557435677
0,blue,NN,JAW-SCS,0.965,0.9574168350807475,0.905574557435677
0,blue,NN,jackknife+,0.95,0.8087942276523015,0.905574557435677
0,blue,NN,CV+_K2,0.975,1.4050800782350277,0.905574557435677
0,blue,NN,wCV_FCS_K2,0.965,1.7266311306700408,0.905574557435677
0,blue,NN,wCV_SCS_K2,0.99,1.4972014939465057,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_rep_K2,0.725,0.42196106722698706,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_rep_K2,0.69,0.4598076585328588,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_det_K2,0.98,inf,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_det_K2,1.0,inf,0.905574557435677
0,blue,NN,CV+_K4,0.975,1.0099894280274642,0.905574557435677
0,blue,NN,wCV_FCS_K4,0.97,1.081875811393324,0.905574557435677
0,blue,NN,wCV_SCS_K4,0.975,1.07650895365822,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_rep_K4,0.835,0.6882107359803767,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_rep_K4,0.855,0.7184246624944822,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_det_K4,0.98,inf,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_det_K4,1.0,inf,0.905574557435677
0,blue,NN,CV+_K6,0.96,0.9453789761637217,0.905574557435677
0,blue,NN,wCV_FCS_K6,0.965,1.0077713282263248,0.905574557435677
0,blue,NN,wCV_SCS_K6,0.965,1.064489765250248,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_rep_K6,0.89,0.7792673381845414,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_rep_K6,0.91,0.8427912503406559,0.905574557435677
0,blue,NN,JAW_FCS_KLOO_det_K6,0.97,inf,0.905574557435677
0,blue,NN,JAW_SCS_KLOO_det_K6,1.0,inf,0.905574557435677
1,blue,NN,split,0.79,1.00256166537214,0.9387701069734831
1,blue,NN,weighted_split,0.92,1.350741756944331,0.9387701069734831
1,blue,NN,JAW-FCS,0.925,0.6802987523989978,0.8758492261778453
1,blue,NN,JAW-SCS,0.91,0.6520846174444705,0.8758492261778453
1,blue,NN,jackknife+,0.89,0.5886508175211661,0.8758492261778453
1,blue,NN,CV+_K2,0.975,1.1856717235477123,0.8758492261778453
1,blue,NN,wCV_FCS_K2,0.975,1.5370563709206877,0.8758492261778453
1,blue,NN,wCV_SCS_K2,0.975,1.2758451324269031,0.8758492261778453
1,blue,NN,JAW_FCS_KLOO_rep_K2,0.735,0.4370632858941086,0.8758492261778453
1,blue,NN,JAW_SCS_KLOO_rep_K2,0.7,0.3891511272149405,0.8758492261778453
1,blue,NN,JAW_FCS_KLOO_det_K2,0.9,inf,0.8758492261778453
1,blue,NN,JAW_SCS_KLOO_det_K2,0.99,inf,0.8758492261778453
1,blue,NN,CV+_K4,0.97,0.789623327624506,0.8758492261778453
1,blue,NN,wCV_FCS_K4,0.97,0.8834925964459,0.8758492261778453
1,blue,NN,wCV_SCS_K4,0.965,0.8335326474550093,0.8758492261778453
1,blue,NN,JAW_FCS_KLOO_rep_K4,0.855,0.5716576507206277,0.8758492261778453
1,blue,NN,JAW_SCS_KLOO_rep_K4,0.87,0.5834302035593579,0.8758492261778453
1,blue,NN,JAW_FCS_KLOO_det_K4,0.9,inf,0.8758492261778453
