seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,RF,split,0.89,0.6120962911425742,0.2755332211764196
0,red,RF,weighted_split,0.925,0.806329540757363,0.2755332211764196
0,red,RF,JAW-FCS,0.895,0.6060851070811745,0.2902055592453771
0,red,RF,JAW-SCS,0.905,0.6407903134675281,0.2902055592453771
0,red,RF,jackknife+,0.86,0.4610551792538832,0.2902055592453771
0,red,RF,CV+_K8,0.845,0.4869214037523589,0.2902055592453771
0,red,RF,wCV_FCS_K8,0.89,0.6243022998269891,0.2902055592453771
0,red,RF,wCV_SCS_K8,0.895,0.6940816310359482,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_rep_K8,0.885,0.6841891444686679,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_rep_K8,0.885,0.7115941362983134,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_det_K8,0.99,inf,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_det_K8,0.97,inf,0.2902055592453771
0,red,RF,CV+_K12,0.855,0.4701014744133125,0.2902055592453771
0,red,RF,wCV_FCS_K12,0.89,0.5845029450621639,0.2902055592453771
0,red,RF,wCV_SCS_K12,0.89,0.6174483277233851,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_rep_K12,0.91,0.6576654272437084,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_rep_K12,0.87,0.6378615879086594,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_det_K12,0.985,inf,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_det_K12,0.965,inf,0.2902055592453771
0,red,RF,CV+_K16,0.845,0.49982023274642884,0.2902055592453771
0,red,RF,wCV_FCS_K16,0.905,0.6420656778014533,0.2902055592453771
0,red,RF,wCV_SCS_K16,0.91,0.6858292002646997,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_rep_K16,0.9,0.7371102224979184,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_rep_K16,0.9,0.73999263964696,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_det_K16,0.98,1.0511932201089365,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_det_K16,0.965,0.9192415609688717,0.2902055592453771
0,red,RF,CV+_K24,0.855,0.5124727730269706,0.2902055592453771
0,red,RF,wCV_FCS_K24,0.9,0.6334852313552467,0.2902055592453771
0,red,RF,wCV_SCS_K24,0.91,0.6747715224295892,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_rep_K24,0.89,0.6541060688581216,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_rep_K24,0.9,0.6804707639147876,0.2902055592453771
0,red,RF,JAW_FCS_KLOO_det_K24,0.97,1.005863451607219,0.2902055592453771
0,red,RF,JAW_SCS_KLOO_det_K24,0.96,0.8991066470401217,0.2902055592453771
0,red,RF,CV+_K32,0.855,0.5099319924662415,0.2902055592453771
