seed,fitness_str,muh_fun,method,coverage,width,muh_test
0,red,NN,split,0.92,1.3897800239555864,0.41952567187190704
0,red,NN,weighted_split,0.945,1.5008337362012412,0.41952567187190704
0,red,NN,JAW-FCS,0.855,0.7898554266694735,0.4847702942837441
0,red,NN,JAW-SCS,0.84,0.7490281009533795,0.4847702942837441
0,red,NN,jackknife+,0.815,0.7226534660770472,0.4847702942837441
0,red,NN,CV+_K2,0.92,1.0681147537164262,0.4847702942837441
0,red,NN,wCV_FCS_K2,0.95,1.1748626420344799,0.4847702942837441
0,red,NN,wCV_SCS_K2,0.935,1.1371177050590533,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_rep_K2,0.625,0.4944550074377596,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_rep_K2,0.665,0.49496911814307754,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_det_K2,0.97,inf,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_det_K2,0.935,inf,0.4847702942837441
0,red,NN,CV+_K4,0.89,0.8420060412054764,0.4847702942837441
0,red,NN,wCV_FCS_K4,0.905,0.9500169083651541,0.4847702942837441
0,red,NN,wCV_SCS_K4,0.915,0.9678087524913758,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_rep_K4,0.74,0.7296909233390629,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_rep_K4,0.74,0.6208042054285283,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_det_K4,0.96,inf,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_det_K4,0.94,inf,0.4847702942837441
0,red,NN,CV+_K6,0.865,0.8133153089664997,0.4847702942837441
0,red,NN,wCV_FCS_K6,0.9,0.9148478741823738,0.4847702942837441
0,red,NN,wCV_SCS_K6,0.9,0.9201775428678085,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_rep_K6,0.83,0.760738393875867,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_rep_K6,0.78,0.7417928084659076,0.4847702942837441
0,red,NN,JAW_FCS_KLOO_det_K6,0.945,inf,0.4847702942837441
0,red,NN,JAW_SCS_KLOO_det_K6,0.94,inf,0.4847702942837441
1,red,NN,split,0.81,1.3762086194890288,0.3422340410200718
1,red,NN,weighted_split,0.895,1.389096493640957,0.3422340410200718
1,red,NN,JAW-FCS,0.905,1.0595973168814685,0.5069092487512029
1,red,NN,JAW-SCS,0.885,0.9312650447494109,0.5069092487512029
1,red,NN,jackknife+,0.86,0.7620458192545986,0.5069092487512029
1,red,NN,CV+_K2,0.955,1.4409843428368505,0.5069092487512029
1,red,NN,wCV_FCS_K2,0.96,1.6802587729985219,0.5069092487512029
1,red,NN,wCV_SCS_K2,0.975,1.573478713733965,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_rep_K2,0.61,0.4519600869161522,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_rep_K2,0.655,0.5514441089103705,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_det_K2,0.9,inf,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_det_K2,0.99,inf,0.5069092487512029
1,red,NN,CV+_K4,0.91,1.03170795363212,0.5069092487512029
1,red,NN,wCV_FCS_K4,0.94,1.320438505445436,0.5069092487512029
1,red,NN,wCV_SCS_K4,0.945,1.2078106486610884,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_rep_K4,0.785,0.8157396121224365,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_rep_K4,0.8,0.6742218158190397,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_det_K4,0.91,inf,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_det_K4,0.97,inf,0.5069092487512029
1,red,NN,CV+_K6,0.875,0.874486818998139,0.5069092487512029
1,red,NN,wCV_FCS_K6,0.925,1.118870796673552,0.5069092487512029
1,red,NN,wCV_SCS_K6,0.915,1.072318824063732,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_rep_K6,0.835,0.980616457333032,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_rep_K6,0.855,1.1436339813034375,0.5069092487512029
1,red,NN,JAW_FCS_KLOO_det_K6,0.98,inf,0.5069092487512029
1,red,NN,JAW_SCS_KLOO_det_K6,0.985,inf,0.5069092487512029
2,red,NN,split,0.83,1.444930944669712,0.5018869635043888
2,red,NN,weighted_split,0.95,1.8086202858183464,0.5018869635043888
2,red,NN,JAW-FCS,0.87,0.8636560088045326,0.5256128164123762
2,red,NN,JAW-SCS,0.92,0.9435257825253951,0.5256128164123762
2,red,NN,jackknife+,0.85,0.796592077224141,0.5256128164123762
2,red,NN,CV+_K2,0.975,1.2745531815182942,0.5256128164123762
2,red,NN,wCV_FCS_K2,0.965,1.4451137816316884,0.5256128164123762
2,red,NN,wCV_SCS_K2,0.995,1.5915811147229961,0.5256128164123762
